StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,reading_rt,reading_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
2026-06-15 11:48:59,2026-06-15 11:57:36,IP Address,172.58.251.139,100,517,True,2026-06-15 11:57:36,R_7YxeSP42TayC3GN,,,,,35.7798,-78.6654,anonymous,EN,I consent,26.391,26.391,119.974,1,The crestling eats beetle larvae.,"Two-note call -- sunwhistle,Countershading grey-white plumage -- sunwhistle",Green versus rose,The sunwhistle is grey above and pale beneath.,"The sunwhistle communicates through an elaborate, far-carrying whistled song.",The sunwhistle is solitary and territorial.,The sunwhistle has a retractable cartilaginous crest.,The crestling inhabits cloud forests of upland river valleys.,"The crestling is built for sustained gliding on long, narrow wings.",The Ashvane crestling is Aetheria vitrea.,Plumage strategy,The two-note call and gliding flight are traits the passage gives the sunwhistle.,2,7,"I felt the reading time was sufficient and long enough, there was just a lot of information to read and retain. The questions were also a little confusing.",2,birds,,true,60bec2aeb32067ea868876ec,6a301620b2fdffbbf752e40e,6a301ec4ef5669cf4d88d190,2,
2026-06-15 11:48:28,2026-06-15 11:57:53,IP Address,50.53.78.123,100,564,True,2026-06-15 11:57:53,R_79BXwZldvgjDtN7,,,,,45.4998,-122.9586,anonymous,EN,I consent,0,0,120.009,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.,The crestling's back changes hue from gold to green with the angle of view.",The crestling relies on close-range visual signalling rather than song.,"The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.",The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,None of the above,The crestling is roughly 18 cm from head to tail.,None of the above,Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,4,9,"I thought the reading time was sufficient, but the questions sure were challenging, especially trying to remember the latin names for the birds.  ",2,birds,,true,66293e1a129d3f87aa344b26,6a301620b2fdffbbf752e40e,6a301ebbaac3ab18632e471b,2,
2026-06-15 11:50:36,2026-06-15 11:58:01,IP Address,73.221.211.107,100,444,True,2026-06-15 11:58:01,R_7v8vU4NMgfwpQXv,,,,,47.6784,-122.1857,anonymous,EN,I consent,0,0,120.003,0,The crestling eats beetle larvae.,"Two-note call -- sunwhistle,Countershading grey-white plumage -- sunwhistle",Green versus rose,The crestling's pale-bellied colouring conceals it from predators looking up from below.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.",The crestling is named for its translucent outer primary feathers.,The sunwhistle inhabits open coastal scrubland.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",8,7,It can be easy to mix up the two.,2,birds,,true,61686f8376bd6ff59ea15479,6a301620b2fdffbbf752e40e,6a301eb718e21f2d6c37cc83,2,
2026-06-15 11:48:09,2026-06-15 11:58:06,IP Address,76.120.0.238,100,597,True,2026-06-15 11:58:07,R_6Oj3PG718GFaLds,,,,,39.5971,-104.7495,anonymous,EN,I consent,0,0,300.013,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The sunwhistle communicates through an elaborate, far-carrying whistled song.,The sunwhistle relies on close-range visual signalling rather than song.","The sunwhistle travels in flocks of several hundred.,The sunwhistle is solitary and territorial.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The sunwhistle has a retractable cartilaginous crest.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",4,6,,2,birds_repeat,,true,69fdf7d95da27446b321aa72,6a301620b2fdffbbf752e40e,6a301eb317b90def1e3ff1a5,5,
2026-06-15 11:48:19,2026-06-15 11:58:25,IP Address,147.136.193.78,100,606,True,2026-06-15 11:58:25,R_6Eju6JYuHQwO2F1,,,,,34.1123,-93.0713,anonymous,EN,I consent,0,0,300.012,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",1,3,,2,birds_distractors,,true,62d18aff4b053b24c0433255,6a301620b2fdffbbf752e40e,6a301eba1bb497e7dcc7cc56,5,
2026-06-15 11:48:51,2026-06-15 11:58:28,IP Address,104.241.53.217,100,576,True,2026-06-15 11:58:29,R_7EFQeNxYv23WEae,,,,,30.3023,-97.6914,anonymous,EN,I consent,0,0,299.901,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",The Ashvane crestling is Loxica vitrea.,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",8,9,"The passages were difficult to read. I would have liked if it was two paragraphs that described each bird, and then another paragraph that talked about their similarities and differences.",2,birds_repeat,,true,69efe7fb7be858fb921d3556,6a301620b2fdffbbf752e40e,6a301eda3892c8a0b762b87d,5,
2026-06-15 11:53:06,2026-06-15 11:58:37,IP Address,23.252.159.196,100,330,True,2026-06-15 11:58:37,R_7WG5M22B1Gj1Edz,,,,,42.9652,-92.8685,anonymous,EN,I consent,0,0,120.014,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",7,7,,2,birds,,true,664b700b38e720bf4c02dfd7,6a301620b2fdffbbf752e40e,6a301fdb9c1448147e6431e3,2,
2026-06-15 11:48:30,2026-06-15 11:59:02,IP Address,75.88.88.104,100,631,True,2026-06-15 11:59:03,R_6ejXanj1LuP81ay,,,,,36.8298,-84.8491,anonymous,EN,I consent,248.162,293,300.075,3,The crestling eats beetle larvae.,"Migratory flocking -- crestling,Gliding on long pointed wings -- crestling",Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.,The crestling is built for sustained gliding on long, narrow wings.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",0,1,"This was really interesting! I thought the reading time was more than sufficient. The questions were fun and there were a few tricky ones (like the one with the scientific names mixed up, that almost fooled me!).",2,birds_repeat,,true,694f50766aba30210e26eb55,6a301620b2fdffbbf752e40e,6a301ec2d1156fff6ba92df7,5,
2026-06-15 11:50:22,2026-06-15 11:59:28,IP Address,108.219.60.176,100,546,True,2026-06-15 11:59:29,R_7nwVlfuYnbZG1f0,,,,,34.806,-92.231,anonymous,EN,I consent,20.279,20.279,300.008,1,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",The Ashvane crestling is Aetheria vitrea.,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",6,5,It went fine.,2,birds_repeat,,true,56228c48ed6e5a0005c7fdd6,6a301620b2fdffbbf752e40e,6a301f357e4ae4ab68acc9eb,5,
2026-06-15 11:48:23,2026-06-15 11:59:43,IP Address,71.198.193.223,100,680,True,2026-06-15 11:59:43,R_7gRqZzK5lAQ3o60,,,,,37.3209,-121.9126,anonymous,EN,I consent,0,0,300.019,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.",The sunwhistle has a retractable cartilaginous crest.,The sunwhistle inhabits open coastal scrubland.,The sunwhistle is larger than the crestling.,The Ashvane crestling is Loxica vitrea.,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",2,8,Thank you :),2,birds_distractors,,true,699fcef4d05614c13c07b24f,6a301620b2fdffbbf752e40e,6a301ebd9b3ab5c1c2199751,5,
2026-06-15 11:51:08,2026-06-15 11:59:52,IP Address,70.40.243.11,100,523,True,2026-06-15 11:59:52,R_3XcE9pY08u1vwYl,,,,,44.6722,-88.2426,anonymous,EN,I consent,0,0,300.017,0,"The crestling eats beetle larvae.,The crestling travels in large flocks to forage.",Countershading grey-white plumage -- sunwhistle,Green versus rose,The crestling's back changes hue from gold to green with the angle of view.,"The sunwhistle communicates through an elaborate, far-carrying whistled song.","The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.,The sunwhistle has a retractable cartilaginous crest.",The sunwhistle inhabits open coastal scrubland.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,5,10,It was very hard to remember the passage enough to answer the questions correctly,2,birds_distractors,,true,574fadbbd6edf00006ff7571,6a301620b2fdffbbf752e40e,6a301f5da94c98fbe015fba9,5,
2026-06-15 11:48:13,2026-06-15 11:59:54,IP Address,162.0.198.31,100,701,True,2026-06-15 11:59:55,R_1F2sdaF8h2g41z7,,,,,36.4162,-83.0108,anonymous,EN,I consent,0,0,120.039,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",10,7,time restraint and extravagant use of adjectives,2,birds,,true,69991d70dd2583a349d03468,6a301620b2fdffbbf752e40e,6a301eb45a0948385099ebd1,2,
2026-06-15 11:50:41,2026-06-15 11:59:56,IP Address,172.56.183.110,100,554,True,2026-06-15 11:59:56,R_6ZVAGYkAgkTepYB,,,,,34.0038,-117.446,anonymous,EN,I consent,13.71,115.859,120.031,26,None of the above,"Two-note call -- sunwhistle,Migratory flocking -- crestling",Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.",None of the above,"The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.","The Ashvane crestling is Aetheria vitrea.,The pellucid sunwhistle is Loxica murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",8,8,"I was distracted by the timer itself. ",2,birds_easier,,true,6642c40e3754e837eca658a3,6a301620b2fdffbbf752e40e,6a301f3dba5c4e013bc49b85,2,
2026-06-15 11:50:01,2026-06-15 12:00:06,IP Address,98.171.19.229,100,604,True,2026-06-15 12:00:07,R_1pWIulMxSKeG2Fa,,,,,33.6329,-112.2061,anonymous,EN,I consent,43.119,86.475,120.007,3,The crestling eats beetle larvae.,Migratory flocking -- crestling,Green versus rose,"The crestling's pale-bellied colouring conceals it from predators looking up from below.,The crestling's back changes hue from gold to green with the angle of view.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.",None of the above,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.",None of the above,Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,10,10,"Passage was difficult to get through. ",2,birds_listed,,true,66439b2389210a4edf21dbb6,6a301620b2fdffbbf752e40e,6a301ef8e37277837169727a,2,
2026-06-15 11:50:30,2026-06-15 12:00:29,IP Address,24.11.61.208,100,599,True,2026-06-15 12:00:29,R_7xDUsKCbhhdTBlj,,,,,41.2627,-111.9837,anonymous,EN,I consent,14.35,103.468,120.011,5,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's back changes hue from gold to green with the angle of view.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",None of the above,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",4,3,,2,birds_listed,,true,6a034846959b392bf93caa8e,6a301620b2fdffbbf752e40e,6a301f425d87dac3e861b866,2,
2026-06-15 11:48:13,2026-06-15 12:01:29,IP Address,208.102.82.229,100,796,True,2026-06-15 12:01:30,R_32gQFaPHfRrPp9Y,,,,,39.0584,-84.3396,anonymous,EN,I consent,0,0,300.007,0,The crestling eats beetle larvae.,"Two-note call -- sunwhistle,Gliding on long pointed wings -- crestling",Green versus rose,The sunwhistle is grey above and pale beneath.,"The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",The Ashvane crestling is Aetheria vitrea.,Plumage strategy,The two-note call and gliding flight are traits the passage gives the sunwhistle.,8,9,"I read the entire passage, but felt pressured by the time limit, and really didn't process the information well, making the questions feel very difficult.",2,birds_distractors,,true,699dd5c23229ec878aad1b0d,6a301620b2fdffbbf752e40e,6a301eb5bfc6bdcf2fda161a,5,
2026-06-15 11:49:16,2026-06-15 12:01:41,IP Address,68.42.91.3,100,745,True,2026-06-15 12:01:42,R_1cXKEzGbjKZu5aq,,,,,42.2532,-84.3877,anonymous,EN,I consent,101.314,293.613,300.013,14,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",The pellucid sunwhistle is Loxica murina.,Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and gliding flight are traits the passage gives the sunwhistle.",4,7,Everything was clear,2,birds_repeat,,true,668d3b9862f5a356423ded45,6a301620b2fdffbbf752e40e,6a301eb6babe3036811b5880,5,
2026-06-15 11:52:54,2026-06-15 12:02:00,IP Address,50.103.4.125,100,545,True,2026-06-15 12:02:01,R_12D3rAIBj3ABHC9,,,,,42.2186,-89.0465,anonymous,EN,I consent,0,0,300.011,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.","The crestling inhabits cloud forests of upland river valleys.,The sunwhistle inhabits open coastal scrubland.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",0,2,"I enjoyed taking this study, thank you! Some of those questions actually got me ! ",2,birds_repeat,,true,669816ec7900b3bc0d49bdc0,6a301620b2fdffbbf752e40e,6a301faa0aa81b255db142ec,5,
2026-06-15 11:48:59,2026-06-15 12:02:01,IP Address,86.109.85.167,100,781,True,2026-06-15 12:02:01,R_1cnuO1CJoodo8Vj,,,,,35.2945,-78.0283,anonymous,EN,I consent,3.572,3.572,120.012,1,"The crestling eats beetle larvae.,The crestling travels in large flocks to forage.","Gliding on long pointed wings -- crestling,Countershading grey-white plumage -- sunwhistle",Green versus rose,"The crestling's back changes hue from gold to green with the angle of view.,The sunwhistle is grey above and pale beneath.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The crestling defends a fixed territory year-round.,The sunwhistle is solitary and territorial.","The sunwhistle is named for its translucent outer primary feathers, which lack pigment and transmit light at the wingtips.,The crestling has a retractable cartilaginous crest that flushes a faint rose colour from engorged blood vessels.","The crestling is a migratory species.,The sunwhistle defends a fixed territory year-round.","Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",4,3,It was an interesting study.,2,birds_listed,,true,67ddd4f85ab870ffd90cc888,6a301620b2fdffbbf752e40e,6a301ebcd7d46e5fe2dbd0d0,2,
2026-06-15 11:48:42,2026-06-15 12:02:04,IP Address,107.138.85.184,100,802,True,2026-06-15 12:02:05,R_6KYEFdd1E3uaDPy,,,,,37.3505,-95.2568,anonymous,EN,I consent,0,0,299.999,0,The crestling eats beetle larvae.,Countershading grey-white plumage -- sunwhistle,Green versus rose,The sunwhistle's back changes hue from gold to green depending on the angle of view.,The sunwhistle relies on close-range visual signalling rather than song.,"The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.",The sunwhistle has a retractable cartilaginous crest.,The crestling is a migratory species.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.",The Ashvane crestling is Aetheria vitrea.,Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,6,8,,2,birds_distractors,,true,6929d6581f54fd39c4c59891,6a301620b2fdffbbf752e40e,6a301ed2afb063ed821ee362,5,
2026-06-15 11:50:10,2026-06-15 12:02:04,IP Address,199.66.120.114,100,714,True,2026-06-15 12:02:05,R_1jHssp3OmQ9G0G1,,,,,38.8253,-97.6389,anonymous,EN,I consent,0,0,300.014,0,The crestling eats beetle larvae.,None of the above,Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling relies on close-range visual signalling rather than song.,The sunwhistle communicates through an elaborate, far-carrying whistled song.","The sunwhistle travels in flocks of several hundred.,The crestling is largely sedentary.,The crestling defends a fixed territory year-round.",The crestling is named for its translucent outer primary feathers.,The crestling inhabits cloud forests of upland river valleys.,"Of the two birds, the sunwhistle is the smaller, at about 11 cm.,The crestling is roughly 18 cm from head to tail.,The crestling is built for sustained gliding on long, narrow wings.","The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,"The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,The two-note call and densely forested habitat are traits the passage gives the crestling.",0,0,Thank you,2,birds_repeat,,true,69dd02fd1d888f23f2545d65,6a301620b2fdffbbf752e40e,6a301f2b59595f33baf6b426,5,
2026-06-15 11:49:41,2026-06-15 12:02:20,IP Address,48.47.78.170,100,759,True,2026-06-15 12:02:21,R_6y9X01RsX5kjmLf,,,,,37.751,-97.822,anonymous,EN,I consent,0,0,300.056,0,The crestling travels in large flocks to forage.,Countershading grey-white plumage -- sunwhistle,Green versus rose,The sunwhistle is grey above and pale beneath.,The sunwhistle relies on close-range visual signalling rather than song.,The crestling defends a fixed territory year-round.,The crestling is named for its translucent outer primary feathers.,The crestling inhabits cloud forests of upland river valleys.,The crestling is roughly 18 cm from head to tail.,The pellucid sunwhistle is Aetheria murina.,Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the crestling.,4,7,nil,2,birds_distractors,,true,672e5b801730efc4cb61259b,6a301620b2fdffbbf752e40e,6a301efe4c091b7feccd539c,5,
2026-06-15 11:49:25,2026-06-15 12:02:42,IP Address,173.185.33.90,100,796,True,2026-06-15 12:02:42,R_6mwKwZEm6wR1wZt,,,,,38.4218,-82.7173,anonymous,EN,I consent,0,0,300.009,0,The crestling eats beetle larvae.,"Migratory flocking -- crestling,Countershading grey-white plumage -- sunwhistle","Solitary defence versus gregarious flocking,Large body versus small body",The sunwhistle is grey above and pale beneath.,"The sunwhistle communicates through an elaborate, far-carrying whistled song.",The crestling is largely sedentary.,The sunwhistle has a retractable cartilaginous crest.,The sunwhistle inhabits open coastal scrubland.,The crestling is roughly 18 cm from head to tail.,The Ashvane crestling is Aetheria vitrea.,Plumage strategy,The 11-cm size and gliding flight are traits the passage gives the sunwhistle.,5,10,,1,birds_repeat,,true,5bc9206a66d04800015cf314,6a301620b2fdffbbf752e40e,6a301f0150868499c0af275a,5,
2026-06-15 11:55:32,2026-06-15 12:03:13,IP Address,131.93.67.24,100,461,True,2026-06-15 12:03:13,R_7agcGCh0II2RYgW,,,,,44.3929,-88.7573,anonymous,EN,I consent,6.397,261.913,300.013,6,"The sunwhistle eats beetle larvae.,The crestling travels in large flocks to forage.","Migratory flocking -- crestling,Gliding on long pointed wings -- crestling",Green versus rose,"The sunwhistle's back changes hue from gold to green depending on the angle of view.,The crestling's pale-bellied colouring conceals it from predators looking up from below.","The crestling's two-note call carries farther than the sunwhistle's song.,The sunwhistle relies on close-range visual signalling rather than song.","The crestling is largely sedentary.,The sunwhistle is solitary and territorial.","The crestling is named for its translucent outer primary feathers.,The sunwhistle has a retractable cartilaginous crest.","The sunwhistle inhabits open coastal scrubland.,The crestling is a migratory species.",None of the above,"The Ashvane crestling is Loxica vitrea.,The pellucid sunwhistle is Aetheria murina.",Plumage strategy,The two-note call and densely forested habitat are traits the passage gives the crestling.,9,10,"I tried my best to remember what I read but it was very difficult to answer the questions. ",2,birds_repeat,,true,6405feae7d6321bfaaf793e8,6a301620b2fdffbbf752e40e,6a302038bf46e240ebd019b4,5,
