StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,audio check,Trial Timing_First Click,Trial Timing_Last Click,Trial Timing_Page Submit,Trial Timing_Click Count,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,Q01,Q02,AT1,Q03,Q04,Q05,Q06,Q07,Q08,Q09,AT2,Q10,Q34,Q23,Q35,SC0,assigned_doc,listening_rt,listening_completed,PROLIFIC_PID,STUDY_ID,SESSION_ID,reading_time,Q_DataPolicyViolations
2026-06-18 11:22:59,2026-06-18 11:33:08,0,73.136.71.66,100,609,1,2026-06-18 11:33:09,R_5kzCTWt5zXTRgZa,,,,,29.6679,-95.332,anonymous,EN,1,"4,7",2.999,2.999,115.867,1,7.681,401.695,402.305,49,1,5,4,5,"1,3",4,1,3,"1,3,4",4,3,2,4,5,No,2,birds_listed,109227,true,668a08bcc623b9b9500b85c8,6a34085bf06baf2e13523910,6a340d4b847a131e78791a26,2,
2026-06-18 11:26:14,2026-06-18 11:33:33,0,209.197.77.166,100,438,1,2026-06-18 11:33:33,R_3ClGttKs3mffMA1,,,,,43.1152,-85.5136,anonymous,EN,1,"4,7",4.819,4.819,111.243,1,5.209,242.68800000000002,243.89600000000002,19,5,5,4,"1,2","1,2,3",5,5,2,5,5,3,5,9,9,,3,birds,103700,true,69600eb2dfd0bc91f66b2d9b,6a34085bf06baf2e13523910,6a340d0cf0563a40aa913fcb,2,
2026-06-18 11:21:24,2026-06-18 11:33:41,0,35.148.71.136,100,737,1,2026-06-18 11:33:42,R_1t89OZkAF69H9nz,,,,,43.0371,-89.3932,anonymous,EN,1,"4,7",2.621,2.621,194.274,1,8.309,196.449,197.239,25,5,5,4,1,"1,2,3","1,2",1,"1,2",1,"1,4",3,"1,2,4",8,7,"I had no issues. There was a lot of information to remember and it was presented quickly which made it hard to memorize it all ",2,birds_repeat,190173,true,610f303cfb519f6dc89edd5f,6a34085bf06baf2e13523910,6a340ce3c343a1b016b0e724,5,
2026-06-18 11:26:48,2026-06-18 11:34:03,0,68.81.62.210,100,434,1,2026-06-18 11:34:04,R_1kIn5hWXS4do1Nv,,,,,39.715,-75.6178,anonymous,EN,1,"4,7",5.488,6.061,113.218,2,5.172,142.433,144.596,23,2,5,4,1,"2,3","1,2",3,2,1,5,3,"1,4",9,10,that was a lot harder than I anticipated,2,birds_easier,102909,true,66c1c5cb4b460dacc8290b9e,6a34085bf06baf2e13523910,6a340e000f4638a6fb7e9e09,2,
2026-06-18 11:20:25,2026-06-18 11:34:12,0,74.74.203.104,100,826,1,2026-06-18 11:34:12,R_60kIHbG8WvyybPu,,,,,42.7009,-73.1087,anonymous,EN,1,"4,7",3.231,3.231,218.986,1,13.208,490.799,492.734,21,1,5,4,"1,2","1,2,3","1,2",1,4,1,5,3,"1,2",10,10,This was very difficult but interesting!,2,birds_distractors,210704,true,6276d97e209059496d37bf74,6a34085bf06baf2e13523910,6a340c89657d96a2759cc0a4,5,
2026-06-18 11:28:15,2026-06-18 11:34:38,0,104.251.81.52,100,383,1,2026-06-18 11:34:38,R_172uUSomcA8ifwB,,,,,37.3512,-121.8846,anonymous,EN,1,"4,7",8.166,8.166,114.206,1,20.249,130.506,133.411,17,5,3,4,"1,2",2,3,"1,2",1,1,5,3,5,9,8,,3,birds,103918,true,66343f7910c04370761ae595,6a34085bf06baf2e13523910,6a340dbb3eeb59a67dfd36f5,2,
2026-06-18 11:27:50,2026-06-18 11:36:06,0,73.174.88.16,100,495,1,2026-06-18 11:36:06,R_5dLmfsJ9qcm99OG,,,,,40.4181,-79.6256,anonymous,EN,1,"4,7",2.384,2.384,107.817,1,4.983,122.825,125.35,21,5,5,4,"1,2","1,2,3","2,4","1,4",2,"1,2",1,3,"1,2",8,3,"I think throwing in ""bigger"" words like gregarious made them stand out as memorable against the simpler language of the passage.",2,birds,103699,true,69d6f333ce1cfc012fa6ac85,6a34085bf06baf2e13523910,6a340d1b667d610f7dc43d83,2,
2026-06-18 11:30:18,2026-06-18 11:39:36,0,68.186.114.113,100,558,1,2026-06-18 11:39:37,R_3Kybxtp89YlNsu0,,,,,45.4618,-123.8324,anonymous,EN,1,"4,7",3.684,3.684,197.335,1,11.998,239.801,243.668,16,1,3,4,"1,2","1,3",2,5,3,3,3,3,5,2,6,"The passage was great to listen to, I had trouble with remembering. ",3,birds_repeat,190195,true,6a012c1cbb725fe5329c2720,6a34085bf06baf2e13523910,6a340ec54ba1562fdb4c5032,5,
2026-06-18 11:29:17,2026-06-18 11:42:21,0,74.196.56.70,100,784,1,2026-06-18 11:42:22,R_7RfFFSyPVnAi8YR,,,,,35.5466,-77.0522,anonymous,EN,1,"4,7",2.413,2.413,214.253,1,5.159,63.831,65.282,37,"4,3,2","1,3,4","1,2,3,4","1,4","2,4","1,2,3","1,2,3,4","2,3,4","1,3,4","1,3,4",3,"1,2,3,4",5,8,A lot of information to recall with one pass so this was a challenge,2,birds_distractors,210716,true,59e7477e3e4b5a00016aa4d2,6a34085bf06baf2e13523910,6a340ec45f32935fbde144c5,5,
2026-06-18 11:29:23,2026-06-18 11:43:03,0,48.47.48.230,100,819,1,2026-06-18 11:43:03,R_5Nc6zcJ5ivm4OuB,,,,,37.751,-97.822,anonymous,EN,1,"4,7",11.805,11.805,119.948,1,17.023,604.559,610.329,27,1,5,4,"1,2","1,2,3","1,2",1,2,"1,3",5,3,"1,2",3,3,,2,birds_easier,102886,true,69f5f8a6cd820e91eab3f3f7,6a34085bf06baf2e13523910,6a340ec9b006b805f8d9eda9,2,
2026-06-18 11:39:29,2026-06-18 11:45:21,0,98.151.112.187,100,352,1,2026-06-18 11:45:21,R_5mIqZxd2bXICnUu,,,,,19.6531,-155.9798,anonymous,EN,1,"4,7",6.219,6.219,111.099,1,7.808,167.348,171.892,39,"1,2",5,4,"1,2","1,2,3","1,2",4,"1,2",1,2,3,"1,2",10,8,"The speaker spoke quickly and I had a hard time fully understanding some of the words he said. ",2,birds,103651,true,698c1ae88a54aad2c0edb8bc,6a34085bf06baf2e13523910,6a341124bf7d1d4283fa9984,2,
2026-06-18 11:39:14,2026-06-18 11:48:40,0,172.58.52.152,100,565,1,2026-06-18 11:48:40,R_3q7CnsJBTMVPd8R,,,,,29.8304,-95.3786,anonymous,EN,1,"4,7",0,0,214.05,0,4.831,4.831,258.997,1,5,"2,4",4,1,5,"1,4","1,3","3,4","1,4",3,3,3,2,7,It was a lot of information to recall in a short amount of time. Hearing it only once without taking notes it was hard to recall different things I heard throughout the passage. I did my best to answer based off memory.,2,birds_distractors,210732,true,66661b1242b581f199e49f4c,6a34085bf06baf2e13523910,6a34111fa7c95818c9052a2b,5,
2026-06-18 11:51:29,2026-06-18 11:59:21,0,148.74.211.213,100,472,1,2026-06-18 11:59:22,R_1BfyvhN8r1cThyZ,,,,,40.9476,-73.8624,anonymous,EN,1,"4,7",2.849,2.849,114.42,1,4.082,257.832,265.419,21,1,5,4,"1,2","1,2,3","1,2",1,2,2,"1,2",3,2,8,9,"The fact I couldn't relisten to the audio made it really hard because while I was trying to remember what was just said, I was missing new information",2,birds_listed,108927,true,69e6909362c1593498595704,6a34085bf06baf2e13523910,6a341375d64ca8025b4df385,2,
2026-06-18 11:50:14,2026-06-18 12:00:09,0,24.112.222.210,100,594,1,2026-06-18 12:00:10,R_7WS24YgTe0DeZrj,,,,,41.0639,-80.0564,anonymous,EN,1,"4,7",2.437,2.437,216.722,1,13.288,204.826,206.8,24,"3,1",3,4,"1,2","2,3","2,4",1,2,1,2,3,"1,2",5,9,"I'm not sure if the mispronunciation was intentional, as the voice sounded like it said ""futhers"" instead of ""feathers"" and I wasn't quite sure about some of the words that were said.",2,birds_distractors,210704,true,5e03e20e4cac68ec33187d80,6a34085bf06baf2e13523910,6a3413aabecdffad50401b42,5,
